AREA,ACTIVITY,CLUSTER,DISTRICT,PLANNED,STATEMENT,COUNT,AMOUNT
CARE,CDDPs,MASAKA,BUKOMANSIMBI,23,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,2166000
CARE,CDDPs,MASAKA,MASAKA CITY,14,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,1598000
CARE,CDDPs,MASAKA,SEMBABULE,22,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,2850000
TB,MOBILE XRAY,MASAKA,SEMBABULE,20,COUNT EACH OUTREACH AS ONE,No. of outreaches done,3280000
CARE,YAPS FACILITY MENTORSHIP,MASAKA,SEMBABULE,6,COUNT EACH FACILITY VISITED BY THE DISTRICT MENTOR AS ONE,No. of facilities visited,372000
CARE,ICSDM,MASAKA,BUKOMANSIMBI,20,COUNT EACH NS VISITED AS ONE,No. of NS visited,520000
CARE,ICSDM,MASAKA,MASAKA CITY,25,COUNT EACH NS VISITED AS ONE,No. of NS visited,780000
CARE,ICSDM,MASAKA,SEMBABULE,30,COUNT EACH NS VISITED AS ONE,No. of NS visited,1040000
CARE,FACILITY RETENTION SUPPORT,MASAKA,BUKOMANSIMBI,24,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,4830000
CARE,FACILITY RETENTION SUPPORT,MASAKA,MASAKA CITY,16,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,3960000
CARE,FACILITY RETENTION SUPPORT,MASAKA,SEMBABULE,32,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,7056000
CARE,VIRAL LOAD CAMPS,MASAKA,BUKOMANSIMBI,18,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,2916000
CARE,VIRAL LOAD CAMPS,MASAKA,MASAKA CITY,16,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,936000
CARE,VIRAL LOAD CAMPS,MASAKA,SEMBABULE,30,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,3176000
CARE,FACILITY DATA USE MEETINGS,MASAKA,SEMBABULE,1,COUNT EACH FACILITY THAT CONDUCTED THE MEETING AS ONE,No. of participants being paid,150000
CARE,SCHOOL PROGRAM,MASAKA,SEMBABULE,3,COUNT EACH NS CHILD VISITED AS ONE,No. of NS  Children visited,126000
CARE,PHARMACY SUPPORT,MASAKA,SEMBABULE,0,COUNT EACH VISIT AS ONE,No. of visits done,96000
TB,COMMUNTY TB SCREENING ,MASAKA,BUKOMANSIMBI,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2736000
TB,COMMUNTY TB SCREENING ,MASAKA,MASAKA CITY,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2160000
TB,COMMUNTY TB SCREENING ,MASAKA,SEMBABULE,39,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,3060000
TB,INTEGRATED SCHOOL HEALTH,,SEMBABULE,20,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1160000
CQI,GET PAED COLLABO,MASAKA,BUKOMANSIMBI,2,COUNT EACH FACILITY VISITED BY THE COACHES AS ONE,No. of facilities,118000
CQI,GET PAED COLLABO,MASAKA,MASAKA CITY,15,COUNT EACH FACILITY VISITED BY THE COACHES AS ONE,No. of facilities,232000
CQI,GET PAED COLLABO,MASAKA,SEMBABULE,12,COUNT EACH FACILITY VISITED BY THE COACHES AS ONE,No. of facilities,392000
PMTCT,EID SAMPLE COLLECTION,MASAKA,BUKOMANSIMBI,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,882000
PMTCT,EID SAMPLE COLLECTION,MASAKA,MASAKA CITY,11,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,840000
PMTCT,EID SAMPLE COLLECTION,MASAKA,SEMBABULE,27,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1134000
PMTCT,CERVICAL CANCER CAMPS,MASAKA,BUKOMANSIMBI,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1380000
PMTCT,CERVICAL CANCER CAMPS,MASAKA,MASAKA CITY,15,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1172000
PMTCT,CERVICAL CANCER CAMPS,MASAKA,SEMBABULE,27,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2307000
